string,weight
Citadines - Republique,1
Maison Albar Hotel,1
Hotel Tilsitt Étoile Paris,1
Hotel Hameau de Passy,1
"Hotel de Berri Champs-Élysees, a Luxury Collection Hotel",1
Montmartre mon Amour,1
Paris Oasis,1
Hotel des Deux Avenues,1
Paris Montmartre 18ème,1
Residhome Paris Rosa Parks,1
Hotel Duminy-Vendome,1
Residhome Paris Gare de Lyon - Jacqueline De Romilly,1
Le Kouriet,1
Gustave,1
Eiffel Capitol,1
Beaugrenelle Tour Eiffel,1
Hotel Balagny,1
Aparthotel Adagio Paris Bercy Village,1
Le Nouvel Hotel du Theâtre,1
Cosmotel,1
Trivion,1
Royal Residence,1
Les Jardins du Faubourg,1
Hotel Jenner,1
Hotel de Josephine Bonaparte,1
Ibis Budget Paris La Villette,1
Hotel Relais Monceau,1
Hotel Ampère Paris,1
Lodge In mis,1
Hotel Fanelles Paris,1
Hotel Cecilia,1
Hotel Garden Saint-Martin,1
Hotel de Noailles,1
La nouvelle Republique,1
Max hotel,1
Residence Moret,1
Hotel de la Franche-Comte,1
Hotel Chabrol Opera,1
Hotel Henriette Rive Gauche,1
Hotel Floridor Étoile,1
Le Fabe,1
Simon’s boutique hotel,1
Grand Hotel Français,1
citizenM Paris Champs Elysees,1
Ibis Ornano,1
Le Belmont,1
Hotel Regence,1
Style,1
Hotel de Nemours,1
Hotel Amelie,1
Perfect Hotel & Hostel,1
Laz',1
Atelier Montparnasse,1
Hotel Nicole,1
Mercure Paris Montparnasse Raspail Hotel,1
Grand Hotel Malher,1
Hotel Amour,1
Hotel Barrière Le Fouquet's,1
Hotel de Sully,1
La Maison Favart,1
Grand hotel de Normandie,1
Hotel Park-Lane,1
Hotel de Seine,1
Hotel,1
Hotel L'Adresse,1
Hotel tincis,1
Hibiscus Republique,1
Hotel National des Arts et Metiers,1
Hotel des Canettes,1
Hotel La Perle,1
Hotel du Palais Bourbon,1
Hotel Nord-Est,1
Hotel du Brabant,1
Le Clos Notre-Dame,1
Hotel Twelve,1
Hotel Santana,1
Hapimag Resort Paris,1
Hotel Condamine,1
Konfidentiel,1
Hotel Couronnes,1
Pavillon Louvre Rivoli,1
Le Trente,1
Hotel des deux Nations,1
À la Villa des Artistes,1
Melia Paris Villa Marquis,1
Hotel de l'Union,1
Vix-Hotel,1
Hotel-Residence de la Mare,1
Les 3 Poussins,1
Cheval Blanc,1
Sinner,1
Hotel de la Tour Eiffel,1
K+K Hotel Cayre,1
Hotel Saint-Germain,1
Hotel Dress Code,1
Pepper & paper apartments,1
Hotel de Paris,1
Les Degres de Notre Dame,1
Kimpton St Honore Paris,1
Étoile Pereire,1
Les Jardins de la Villa,1
Hotel Clauzel,1
Aparthotel Adagio Paris Nation,1
Hotel Stanislas,1
Hotel Botaniste,1
Hotel Bienvenue,1
New Hotel Lafayette,1
Oasis Montparnasse,1
Celeste,1
Hotel Nini,1
Hotel Victory Galou,1
Villa Modigliani,1
Hotel de la Fourche,1
Hotel Bertha,1
Hotel Daval,1
Nouvel France,1
Hotel du Trone,1
Luxelthe,1
Surcouf,1
Paris Art Hotel,1
Le Chaplain,1
TimHotel Paris Tour Eiffel,1
Magenta 38,1
Hotel des Grands Voyageurs,1
The valley off,1
Hotel Cornet,1
Maxim folies,1
Madame Rêve,1
Alane Hotel,1
Hotel Passy Eiffel,1
Hotel 7 Eiffel,1
Hotel Aero,1
Les Hauts de Passy,1
SO/ Paris Hotel,1
Prince Albert Montmartre,1
Hotel Vaneau Saint-Germain,1
Le Grand Quartier,1
Castex Hotel,1
Hotel Luxembourg Parc,1
Prince de Conde,1
Crystal Hotel,1
Hotel Odeon Saint-Germain,1
Le Relais Saint-Germain,1
Esprit Saint-Germain,1
Cafe hotel de Limoges,1
Le Royal,1
Celtic,1
Grand Hotel de l'Univers,1
Astoria,1
Best Western Montcalm,1
Dandy,1
Hotel Printania,1
Le Pont-Neuf,1
Hotel Vieux Marais,1
Excelsior Batignolles,1
Raspail Hotel,1
Hotel des Academies,1
Hotel Jardin Le Brea,1
